1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,label
207,223,388,361,396,334,238.0,265.0,219.0,438.0,384.0,361.0,446.0,496.0,415.0,326.0,342.0,361.0,374.5,301.8333333333333,285.3333333333333,287.9074074074074,292.0769230769231,303.7692307692308,0.0,0.0,0.0,C
396,276,253,226,288,226,292.0,165.0,184.0,184.0,226.0,257.0,296.0,353.0,376.0,438.0,469.0,359.0,388.75,301.44444444444446,281.6666666666667,287.48148148148147,292.84615384615387,303.9871794871795,0.0,0.0,0.0,C
265,326,226,157,107,196,242.0,226.0,261.0,153.0,88.0,46.0,46.0,192.0,96.0,276.0,319.0,357.0,403.0,301.05555555555554,278.0,287.05555555555554,293.61538461538464,304.2051282051282,0.0,0.0,0.0,C
292,288,288,388,376,446,434.0,296.0,169.0,103.0,65.0,273.0,442.0,186.25,107.5,282.75,348.75,386.0,410.75,300.6666666666667,274.3333333333333,286.6296296296296,294.38461538461536,304.4230769230769,0.0,0.0,0.0,C
284,334,319,261,376,261,372.5,365.0,319.0,249.5,253.5,321.0,388.0,180.5,119.0,289.5,378.5,415.0,418.5,300.27777777777777,270.6666666666667,286.2037037037037,295.15384615384613,304.64102564102564,0.0,0.0,0.0,C
242,96,34,88,188,242,311.0,434.0,469.0,396.0,442.0,369.0,334.0,174.75,130.5,296.25,408.25,444.0,426.25,299.8888888888889,267.0,285.77777777777777,295.9230769230769,304.85897435897436,0.0,0.0,0.0,C
261,226,369,315,311,303,242.0,396.0,284.0,242.0,296.0,303.0,219.0,169.0,142.0,303.0,438.0,473.0,434.0,299.5,263.3333333333333,285.35185185185185,296.6923076923077,305.0769230769231,0.0,0.0,0.0,C
296,276,338,369,361,303,319.0,173.0,207.0,307.0,207.0,196.0,257.0,326.0,265.0,453.0,319.0,454.2857142857143,418.6666666666667,299.1111111111111,259.6666666666667,284.9259259259259,297.46153846153845,305.2948717948718,0.0,0.0,0.0,C
326,446,353,307,11,261,392.0,319.0,324.5,341.5,316.5,271.6666666666667,305.6666666666667,354.3333333333333,329.0,419.2,312.8,435.57142857142856,403.3333333333333,298.72222222222223,256.0,284.5,298.2307692307692,305.5128205128205,0.0,0.0,0.0,C
488,442,423,396,369,457,465.0,465.0,442.0,376.0,426.0,347.33333333333337,354.3333333333333,382.6666666666667,393.0,385.4,306.6,416.85714285714283,388.0,298.3333333333333,252.33333333333334,284.0740740740741,299.0,305.7307692307692,0.0,0.0,0.0,C
269,265,303,319,334,388,476.0,476.0,446.0,411.0,419.0,423.0,403.0,411.0,457.0,351.6,300.4,398.1428571428571,372.6666666666667,297.94444444444446,248.66666666666669,283.64814814814815,299.7692307692308,305.94871794871796,0.0,0.0,0.0,C
346,373,334,238,273,253,384.0,403.0,369.0,438.0,338.0,353.0,392.0,453.0,336.0,317.8,294.2,379.42857142857144,357.3333333333333,297.55555555555554,245.0,283.22222222222223,300.53846153846155,306.1666666666667,0.0,0.0,0.0,C
26,34,103,188,176,111,146.0,146.0,115.0,223.0,142.0,123.0,123.0,173.0,215.0,284.0,288.0,360.7142857142857,342.0,297.1666666666667,241.33333333333334,282.7962962962963,301.3076923076923,306.38461538461536,0.0,0.0,0.0,C
319,103,188,246,288,265,273.0,334.0,288.0,196.0,334.0,453.0,465.0,476.0,342.0,353.0,288.0,342.0,326.66666666666663,296.77777777777777,237.66666666666669,282.3703703703704,302.0769230769231,306.6025641025641,0.0,0.0,0.0,C
373,357,242,284,246,257,161.0,242.0,303.0,338.0,169.0,207.0,203.0,196.0,342.0,332.0,324.5,328.5,311.3333333333333,296.3888888888889,234.0,281.94444444444446,302.84615384615387,306.8205128205128,0.0,0.0,0.0,C
311,192,257,203,265,257,292.0,253.0,284.0,357.0,357.0,496.0,396.0,396.0,342.0,311.0,361.0,315.0,296.0,296.0,230.33333333333334,281.51851851851853,303.61538461538464,307.03846153846155,0.0,0.0,0.0,C
173,184,211,292,273,265,219.0,273.0,253.0,253.0,265.0,434.0,384.0,373.0,365.0,323.0,365.0,346.0,299.5,319.0,226.66666666666669,281.0925925925926,304.38461538461536,307.2564102564103,0.0,0.0,0.0,C
307,303,269,242,196,253,153.0,211.0,211.0,288.0,242.0,392.0,453.0,461.0,388.0,323.0,346.0,303.0,303.0,342.0,223.0,280.6666666666667,305.15384615384613,307.47435897435895,0.0,0.0,0.0,C
173,223,153,161,126,342,319.0,365.0,469.0,415.0,415.0,423.0,292.0,365.0,319.0,319.0,339.3333333333333,310.6666666666667,266.0,342.8,231.83333333333334,280.24074074074076,305.9230769230769,307.6923076923077,0.0,0.0,0.0,C
234,261,338,326,323,426,469.0,415.0,388.0,373.0,292.0,284.0,246.0,246.0,246.0,315.0,332.6666666666667,318.3333333333333,229.0,343.6,240.66666666666666,279.81481481481484,306.6923076923077,307.9102564102564,0.0,0.0,0.0,C
342,269,203,203,184,219,284.0,265.0,246.0,323.0,365.0,315.0,338.0,319.0,338.0,311.0,326.0,326.0,192.0,344.4,249.5,279.3888888888889,307.46153846153845,308.12820512820514,0.0,0.0,0.0,C
