1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,label
484,492,484.0,461.0,484.0,392.0,392.0,346.0,261.0,296.0,423.0,303.0,342.0,396.0,376.0,346.0,357.0,357.0,334.0,261.0,323.0,238.0,226.0,B
269,265,376.0,265.0,411.0,319.0,253.0,242.0,253.0,311.0,334.0,303.0,326.0,326.0,407.0,357.0,338.0,265.0,373.0,361.0,357.0,196.0,365.0,B
384,319,307.0,307.0,307.0,315.0,296.0,346.0,388.0,369.0,357.0,365.0,403.0,484.0,346.0,296.0,253.0,334.0,334.0,396.0,369.0,273.0,373.0,B
319,388,319.0,407.0,419.0,419.0,407.0,288.0,334.0,292.0,215.0,169.0,303.0,488.0,319.0,315.0,261.0,238.0,226.0,242.0,276.0,292.0,338.0,B
396,296,307.0,292.0,196.0,315.0,323.0,269.0,246.0,276.0,219.0,126.0,26.0,238.0,323.0,419.0,461.0,392.0,484.0,469.0,473.0,311.0,303.0,B
403,357,357.0,311.0,419.0,388.0,411.0,296.0,353.0,365.0,307.0,392.0,276.0,196.0,146.0,107.0,215.0,365.0,353.0,369.0,307.0,457.0,438.0,B
384,234,192.0,207.0,242.0,215.0,292.0,369.0,384.0,396.0,323.0,242.0,284.0,223.0,246.0,353.0,419.0,326.0,392.0,461.0,253.0,288.0,381.6666666666667,B
419,334,384.0,303.0,342.0,261.0,338.0,326.0,369.0,284.0,311.0,184.0,111.0,369.0,407.0,403.0,446.0,488.0,426.5,374.5,295.5,290.0,325.3333333333333,B
342,273,334.0,307.0,376.0,376.0,307.0,411.0,292.0,411.0,307.0,396.0,253.0,303.0,173.0,307.0,307.0,407.0,461.0,288.0,338.0,292.0,269.0,B
242,138,76.0,34.0,3.0,57.0,57.0,257.0,157.0,323.0,238.0,315.0,303.0,323.0,261.0,242.0,324.5,347.5,401.5,301.5,370.5,332.5,321.0,B
323,276,373.0,361.0,365.0,319.0,365.0,392.0,296.0,419.0,369.0,392.0,407.0,434.0,311.0,334.0,342.0,288.0,342.0,315.0,403.0,373.0,373.0,B
284,373,411.0,388.0,453.0,438.0,307.0,161.0,276.0,407.0,453.0,453.0,476.0,446.0,373.0,323.6666666666667,367.6666666666667,312.3333333333333,370.0,319.75,367.5,365.25,361.25,B
292,23,26.0,69.0,292.0,361.0,411.0,376.0,442.0,473.0,407.0,369.0,430.0,405.5,388.0,313.3333333333333,393.3333333333333,336.6666666666667,398.0,324.5,332.0,357.5,349.5,B
365,353,265.0,284.0,292.0,307.0,142.0,146.0,176.0,173.0,261.0,242.0,384.0,365.0,403.0,303.0,419.0,361.0,426.0,329.25,296.5,349.75,337.75,B
392,376,438.0,276.0,403.0,361.0,365.0,361.0,269.0,384.0,426.0,419.0,19.0,119.0,192.0,261.0,334.0,388.0,307.0,334.0,261.0,342.0,326.0,B
319,211,219.0,146.0,65.0,207.0,153.0,215.0,303.0,426.0,465.0,415.0,423.0,292.0,334.0,388.0,488.0,323.0,419.0,476.0,357.0,407.0,357.0,B
388,296,303.0,307.0,423.0,415.0,403.0,311.0,384.0,369.0,103.0,76.0,146.0,192.0,315.0,365.0,376.0,403.0,461.0,446.0,365.0,397.75,349.6666666666667,B
465,357,492.0,392.0,384.0,311.0,253.0,215.0,134.0,84.0,46.0,134.0,288.0,253.0,326.0,403.0,384.0,365.0,492.0,415.0,396.0,388.5,342.3333333333333,B
307,253,73.0,42.0,84.0,211.0,226.0,326.0,234.0,253.0,411.0,384.0,276.0,411.0,461.0,420.5,380.0,409.0,419.0,392.0,375.6,379.25,335.0,B
388,376,284.0,419.0,292.0,292.0,292.0,373.0,142.0,34.0,53.0,246.0,288.0,373.0,423.0,438.0,376.0,453.0,346.0,369.0,355.2,370.0,327.6666666666667,B
461,261,369.0,415.0,434.0,407.0,369.0,361.0,261.0,138.0,76.0,15.0,176.0,257.0,353.0,207.0,265.0,326.0,342.0,346.0,334.8,360.75,320.3333333333333,B
488,419,419.0,342.0,365.0,19.0,176.0,303.0,311.0,419.0,369.0,246.0,276.0,257.0,238.0,357.0,315.0,382.6666666666667,357.3333333333333,351.0,314.4,351.5,313.0,B
342,346,388.0,296.0,376.0,303.0,296.0,323.0,284.0,69.0,226.0,273.0,396.0,319.0,323.0,476.0,340.0,439.3333333333333,372.6666666666667,356.0,294.0,342.25,305.6666666666667,B
461,334,369.0,261.0,407.0,369.0,361.0,361.0,238.0,238.0,319.0,173.0,92.0,176.0,319.0,426.0,365.0,496.0,388.0,361.0,273.6,333.0,298.3333333333333,B
338,273,361.0,396.0,457.0,319.0,276.0,242.0,169.0,76.0,65.0,153.0,296.0,215.0,365.0,376.0,365.0,419.0,317.3333333333333,338.0,253.20000000000002,323.75,291.0,B
496,407,484.0,384.0,423.0,273.0,242.0,276.0,311.0,161.0,76.0,292.0,259.5,236.0,290.0,330.0,301.5,342.0,246.66666666666666,315.0,232.8,314.5,283.6666666666667,B
165,173,203.0,211.0,315.0,276.0,392.0,442.0,369.0,303.0,215.0,234.0,223.0,257.0,215.0,284.0,238.0,265.0,176.0,292.0,212.4,305.25,276.33333333333337,B
